,BAA10YM,BAA_YEILD_10Y_M_PCT_CHG,BAA_YEILD_10Y_Q_PCT_CHG,BAA_YEILD_10Y_A_PCT_CHG,BAA_YEILD_10Y_2A_PCT_CHG,BAA_YEILD_10Y_3A_PCT_CHG
1997-04-01,1.45,-0.02684563758389269,-0.046052631578947456,-0.0705128205128206,-0.07643312101910837,0.00694444444444442
1997-05-01,1.49,0.02758620689655178,0.0,0.0,-0.138728323699422,-0.03870967741935483
1997-06-01,1.53,0.02684563758389258,0.05517241379310356,0.03378378378378377,-0.13068181818181812,0.020000000000000018
1997-07-01,1.53,0.0,0.02684563758389258,-0.006493506493506551,-0.09999999999999998,0.020000000000000018
1997-08-01,1.52,-0.006535947712418277,-0.006535947712418277,0.0,-0.12138728323699421,0.0
1997-09-01,1.49,-0.019736842105263164,-0.02614379084967322,-0.032467532467532534,-0.1286549707602339,0.020547945205479534
1997-10-01,1.54,0.033557046979865834,0.013157894736842035,-0.03144654088050314,-0.12,0.13235294117647056
1997-11-01,1.54,0.0,0.033557046979865834,-0.03144654088050314,-0.1348314606741573,0.193798449612403
1997-12-01,1.51,-0.019480519480519543,-0.019480519480519543,0.0,-0.1703296703296704,0.1615384615384614
1998-01-01,1.65,0.0927152317880795,0.0714285714285714,0.08552631578947367,-0.09340659340659352,0.19565217391304346
1998-02-01,1.68,0.0181818181818183,0.11258278145695355,0.12751677852348986,-0.045454545454545525,0.11999999999999988
1998-03-01,1.67,-0.005952380952380931,0.0121212121212122,0.15172413793103456,-0.005952380952380931,0.08441558441558428
1998-04-01,1.69,0.011976047904191711,0.005952380952380931,0.13422818791946312,0.08333333333333326,0.07643312101910826
1998-05-01,1.65,-0.023668639053254448,-0.0119760479041916,0.07843137254901955,0.10738255033557031,-0.046242774566474076
1998-06-01,1.63,-0.012121212121212088,-0.03550295857988173,0.065359477124183,0.10135135135135132,-0.07386363636363646
1998-07-01,1.69,0.036809815950920255,0.024242424242424176,0.11184210526315774,0.09740259740259738,-0.00588235294117645
1998-08-01,1.8,0.06508875739644981,0.10429447852760743,0.20805369127516782,0.18421052631578938,0.040462427745664886
1998-09-01,2.28,0.2666666666666666,0.34911242603550297,0.48051948051948035,0.48051948051948035,0.33333333333333326
1998-10-01,2.65,0.16228070175438614,0.4722222222222221,0.7207792207792207,0.6666666666666665,0.5142857142857142
1998-11-01,2.51,-0.05283018867924538,0.10087719298245612,0.6622516556291389,0.5786163522012577,0.4101123595505616
1998-12-01,2.58,0.02788844621513964,-0.026415094339622636,0.5636363636363637,0.7086092715231789,0.41758241758241765
