,US10Y_M,US10Y_M_PCT_CHG,US10Y_Q_PCT_CHG,US10Y_A_PCT_CHG,US10Y_2A_PCT_CHG,US10Y_3A_PCT_CHG
1966-10-01,5.01,-0.03281853281853275,-0.04022988505747127,0.12584269662921344,0.20722891566265034,0.21601941747572817
1966-11-01,5.16,0.029940119760479167,-0.0038610038610037423,0.11688311688311681,0.23444976076555046,0.24939467312348684
1966-12-01,4.84,-0.06201550387596899,-0.03393213572854292,0.049891540130151846,0.15513126491646756,0.1606714628297361
1967-01-01,4.58,-0.05371900826446274,-0.11240310077519378,-0.051759834368530044,0.0878859857482186,0.10361445783132517
1967-02-01,4.63,0.01091703056768556,-0.04338842975206614,-0.04928131416837789,0.09976247030878849,0.09715639810426535
1967-03-01,4.54,-0.01943844492440605,-0.008733624454148492,-0.04421052631578948,0.08095238095238089,0.07328605200945626
1967-04-01,4.59,0.011013215859030812,-0.008639308855291628,-0.03974895397489553,0.09026128266033262,0.09285714285714275
1967-05-01,4.85,0.05664488017429181,0.06828193832599116,0.008316008316008316,0.15201900237529675,0.16306954436450827
1967-06-01,5.02,0.035051546391752675,0.09368191721132901,0.0,0.195238095238095,0.1980906921241048
1967-07-01,5.16,0.02788844621513964,0.0639175257731961,-0.011494252873563093,0.21411764705882352,0.2315035799522671
1967-08-01,5.28,0.023255813953488413,0.05179282868525914,0.01930501930501949,0.23076923076923084,0.2571428571428571
1967-09-01,5.3,0.0037878787878786735,0.027131782945736482,0.05788423153692612,0.21839080459770122,0.26491646778042943
1967-10-01,5.48,0.03396226415094361,0.037878787878787845,0.0620155038759691,0.23146067415730331,0.3204819277108433
1967-11-01,5.75,0.0492700729927007,0.08490566037735858,0.18801652892561993,0.24458874458874447,0.37559808612440193
1967-12-01,5.7,-0.008695652173912993,0.04014598540145986,0.24454148471615733,0.2364425162689805,0.3603818615751788
1968-01-01,5.53,-0.029824561403508754,-0.03826086956521735,0.1943844492440605,0.14492753623188404,0.31353919239905004
1968-02-01,5.56,0.005424954792043302,-0.024561403508772006,0.22466960352422904,0.14168377823408607,0.3206650831353919
1968-03-01,5.74,0.03237410071942448,0.03797468354430378,0.25054466230936834,0.20842105263157906,0.3666666666666667
1968-04-01,5.64,-0.017421602787456525,0.014388489208633004,0.16288659793814442,0.17991631799163166,0.33966745843230406
1968-05-01,5.87,0.04078014184397172,0.022648083623693305,0.16932270916334669,0.2203742203742205,0.39429928741092635
1968-06-01,5.72,-0.02555366269165249,0.014184397163120588,0.10852713178294571,0.1394422310756973,0.36190476190476173
1968-07-01,5.5,-0.038461538461538436,-0.06303236797274281,0.04166666666666652,0.05363984674329503,0.2941176470588236
1968-08-01,5.42,-0.014545454545454528,-0.05244755244755239,0.02264150943396226,0.04633204633204646,0.2634032634032635
1968-09-01,5.46,0.007380073800737907,-0.0072727272727273196,-0.0036496350364964014,0.08982035928143706,0.2551724137931035
1968-10-01,5.58,0.0219780219780219,0.029520295202952074,-0.029565217391304355,0.08139534883720922,0.2539325842696629
1968-11-01,5.7,0.021505376344086002,0.04395604395604402,0.0,0.1776859504132231,0.23376623376623384
1968-12-01,6.03,0.05789473684210522,0.08064516129032251,0.0904159132007234,0.3165938864628821,0.3080260303687634
1969-01-01,6.04,0.0016583747927030323,0.05964912280701751,0.08633093525179869,0.3045356371490282,0.25051759834368537
1969-02-01,6.19,0.024834437086092676,0.026533996683250516,0.07839721254355414,0.36343612334801767,0.27104722792607805
1969-03-01,6.3,0.017770597738287375,0.043046357615893927,0.1170212765957448,0.37254901960784315,0.3263157894736841
1969-04-01,6.17,-0.020634920634920673,-0.003231017770597866,0.05110732538330498,0.2721649484536084,0.2907949790794979
1969-05-01,6.32,0.024311183144246407,0.0031746031746031633,0.104895104895105,0.25896414342629503,0.313929313929314
1969-06-01,6.57,0.039556962025316444,0.06482982171799034,0.19454545454545458,0.2732558139534884,0.308764940239044
1969-07-01,6.72,0.022831050228310446,0.06329113924050622,0.2398523985239851,0.2727272727272727,0.28735632183908044
1969-08-01,6.69,-0.004464285714285587,0.0182648401826484,0.22527472527472536,0.2622641509433963,0.2915057915057917
1969-09-01,7.16,0.07025411061285491,0.06547619047619047,0.2831541218637994,0.3065693430656933,0.4291417165668663
1969-10-01,7.1,-0.008379888268156499,0.061285500747384036,0.24561403508771917,0.23478260869565215,0.375968992248062
1969-11-01,7.14,0.005633802816901401,-0.0027932960893854997,0.1840796019900497,0.2526315789473683,0.475206611570248
1969-12-01,7.65,0.07142857142857162,0.07746478873239449,0.26655629139072845,0.383363471971067,0.6703056768558953
1970-01-01,7.79,0.018300653594771177,0.09103641456582645,0.25848142164781907,0.40107913669064765,0.6825053995680346
1970-02-01,7.24,-0.07060333761232351,-0.0535947712418301,0.14920634920634934,0.26132404181184676,0.5947136563876652
1970-03-01,7.07,-0.023480662983425438,-0.09242618741976893,0.14586709886547822,0.2535460992907803,0.5403050108932463
1970-04-01,7.39,0.04526166902404527,0.02071823204419876,0.16930379746835422,0.25894378194207834,0.5237113402061857
1970-05-01,7.91,0.07036535859269288,0.1188118811881187,0.2039573820395737,0.3828671328671329,0.5756972111553786
1970-06-01,7.84,-0.008849557522123908,0.06089309878213811,0.16666666666666674,0.42545454545454553,0.5193798449612403
1970-07-01,7.46,-0.04846938775510201,-0.05689001264222504,0.1150971599402093,0.3763837638376384,0.41287878787878785
1970-08-01,7.53,0.009383378016085908,-0.039540816326530615,0.0516759776536313,0.3791208791208791,0.4207547169811321
1970-09-01,7.39,-0.018592297476759723,-0.009383378016085797,0.04084507042253516,0.32437275985663083,0.3485401459854014
1970-10-01,7.33,-0.008119079837618393,-0.026560424966799445,0.02661064425770321,0.28596491228070176,0.2747826086956522
1970-11-01,6.84,-0.06684856753069579,-0.07442489851150202,-0.10588235294117654,0.13432835820895517,0.19999999999999996
1970-12-01,6.39,-0.06578947368421051,-0.12824010914051842,-0.17971758664955073,0.057947019867549576,0.1555153707052439
1971-01-01,6.24,-0.023474178403755763,-0.08771929824561397,-0.13812154696132595,0.008077544426494221,0.12230215827338142
1971-02-01,6.11,-0.02083333333333337,-0.04381846635367748,-0.1357850070721358,-0.03015873015873005,0.06445993031358888
1971-03-01,5.7,-0.06710310965630117,-0.08653846153846156,-0.2286874154262516,-0.07617504051863855,0.010638297872340496
1971-04-01,5.83,0.02280701754385972,-0.04582651391162029,-0.2629582806573957,-0.07753164556962033,-0.006814310051107331
1971-05-01,6.39,0.0960548885077186,0.1210526315789473,-0.18494897959183676,-0.027397260273972712,0.11713286713286708
1971-06-01,6.52,0.020344287949921824,0.11835334476843906,-0.126005361930295,-0.029761904761904767,0.18545454545454532
1971-07-01,6.73,0.03220858895705536,0.05320813771518007,-0.10624169986719789,0.005979073243647326,0.2416974169741699
1971-08-01,6.58,-0.022288261515601815,0.00920245398773023,-0.10960757780784836,-0.08100558659217882,0.20512820512820507
1971-09-01,6.14,-0.06686930091185417,-0.08766716196136715,-0.16234652114597548,-0.13521126760563384,0.10035842293906794
1971-10-01,5.93,-0.03420195439739415,-0.09878419452887544,-0.13304093567251463,-0.1694677871148459,0.04035087719298236
1971-11-01,5.81,-0.0202360876897133,-0.05374592833876224,-0.09076682316118934,-0.2405228758169935,-0.036484245439469376
