,HSN1F_M,HSN1F_M_PCT_CHG,HSN1F_Q_PCT_CHG,HSN1F_A_PCT_CHG,HSN1F_2A_PCT_CHG,HSN1F_3A_PCT_CHG
1962-01-01,591.0,0.0,0.0,0.0,-0.1302876480541455,-0.08629441624365486
1962-02-01,591.0,0.0,0.0,0.0,-0.1302876480541455,-0.08629441624365486
1962-03-01,591.0,0.0,0.0,0.0,-0.1302876480541455,-0.08629441624365486
1962-04-01,591.0,0.0,0.0,0.0,-0.1302876480541455,-0.08629441624365486
1962-05-01,591.0,0.0,0.0,0.0,-0.1302876480541455,-0.08629441624365486
1962-06-01,591.0,0.0,0.0,0.0,-0.1302876480541455,-0.08629441624365486
1962-07-01,591.0,0.0,0.0,0.0,-0.1302876480541455,-0.08629441624365486
1962-08-01,591.0,0.0,0.0,0.0,-0.1302876480541455,-0.08629441624365486
1962-09-01,591.0,0.0,0.0,0.0,-0.1302876480541455,-0.08629441624365486
1962-10-01,591.0,0.0,0.0,0.0,-0.1302876480541455,-0.08629441624365486
1962-11-01,591.0,0.0,0.0,0.0,-0.1302876480541455,-0.08629441624365486
1962-12-01,591.0,0.0,0.0,0.0,-0.1302876480541455,-0.08629441624365486
1963-01-01,591.0,0.0,0.0,0.0,-0.1302876480541455,-0.08629441624365486
1963-02-01,464.0,-0.21489001692047383,-0.21489001692047383,-0.21489001692047383,-0.1302876480541455,-0.08629441624365486
1963-03-01,461.0,-0.006465517241379337,-0.21996615905245342,-0.21996615905245342,-0.1302876480541455,-0.08629441624365486
1963-04-01,605.0,0.3123644251626898,0.3038793103448276,0.02368866328257191,-0.1302876480541455,-0.08629441624365486
1963-05-01,586.0,-0.031404958677686,0.2711496746203905,-0.008460236886632777,-0.1302876480541455,-0.08629441624365486
1963-06-01,526.0,-0.10238907849829348,-0.13057851239669427,-0.10998307952622677,-0.1302876480541455,-0.08629441624365486
1963-07-01,665.0,0.26425855513307983,0.1348122866894197,0.1252115059221659,-0.1302876480541455,-0.08629441624365486
1963-08-01,570.0,-0.1428571428571429,0.08365019011406849,-0.035532994923857864,-0.1302876480541455,-0.08629441624365486
1963-09-01,590.0,0.03508771929824572,-0.1127819548872181,-0.0016920473773265332,-0.1302876480541455,-0.08629441624365486
