DATE,STOCK_MKT_M
1/1/2014,2.474354626
4/1/2014,3.957367137
7/1/2014,2.156936186
10/1/2014,-1.657415723
1/1/2015,1.12677368
4/1/2015,2.068263945
7/1/2015,-5.73528023
10/1/2015,-1.24113741
1/1/2016,-6.302122352
4/1/2016,7.198696731
7/1/2016,3.461093255
10/1/2016,0.488715038
1/1/2017,5.630460903
4/1/2017,1.811288816
7/1/2017,2.890422989
10/1/2017,4.664623347
1/1/2018,3.1909557
4/1/2018,-2.075447962
7/1/2018,2.474578296
10/1/2018,-5.885671494
