,GDP_M,RGDP_M_PCT_CHG,RGDP_Q_PCT_CHG,RGDP_A_PCT_CHG,RGDP_2A_PCT_CHG,RGDP_3A_PCT_CHG
1964-05-01,5.066666666666667,0.1515151515151516,-0.13142857142857145,-0.33333333333333326,0.10948905109489071,-0.031963470319634646
1964-06-01,5.733333333333333,0.13157894736842102,0.303030303030303,-0.36996336996337,0.14666666666666672,-0.031963470319634646
1964-07-01,6.4,0.11627906976744184,0.26315789473684204,-0.07692307692307687,0.6991150442477878,-0.031963470319634646
1964-08-01,4.666666666666667,-0.27083333333333337,-0.18604651162790697,-0.020979020979020935,0.8421052631578949,-0.031963470319634646
1964-09-01,2.9333333333333336,-0.37142857142857144,-0.5416666666666666,0.1282051282051282,1.2564102564102564,-0.031963470319634646
1964-10-01,1.2,-0.5909090909090909,-0.7428571428571429,-0.7410071942446044,-0.48571428571428577,-0.031963470319634646
1964-11-01,4.133333333333334,0.05938416422287396,0.40909090909090917,-0.3799999999999999,0.2277227722772277,-0.031963470319634646
1964-12-01,7.066666666666667,0.7096774193548387,0.9142228739002931,-0.18773946360153237,0.6060606060606062,-0.031963470319634646
1965-01-01,10.0,0.4150943396226414,1.419354838709677,0.37614678899082565,1.2388059701492535,0.639344262295082
1965-02-01,8.366666666666667,-0.16333333333333333,0.1839622641509433,0.43428571428571416,0.8455882352941178,0.7074829931972788
1965-03-01,6.7333333333333325,-0.19521912350597626,-0.32666666666666677,0.53030303030303,0.4637681159420288,0.8198198198198194
1965-04-01,5.1,-0.24257425742574257,-0.3904382470119523,0.0065789473684207955,-0.16393442622950816,0.23387096774193528
1965-05-01,6.466666666666666,0.26797385620915026,-0.03960396039603964,0.12790697674418583,-0.14912280701754388,0.41605839416058377
1965-06-01,7.833333333333332,0.21134020618556693,0.5359477124183005,0.22395833333333304,-0.13919413919413925,0.5666666666666664
1965-07-01,9.2,0.17446808510638312,0.4226804123711341,0.9714285714285711,0.32692307692307687,1.4424778761061945
1965-08-01,9.299999999999999,0.010869565217391353,0.18723404255319154,2.170454545454545,0.9510489510489508,2.671052631578947
1965-09-01,9.4,0.010752688172043223,0.021739130434782705,1.7344208211143692,2.6153846153846154,2.871240601503759
1965-10-01,9.5,0.010638297872340496,0.021505376344086224,1.2983870967741935,1.050359712230216,3.071428571428571
1965-11-01,9.7,0.021052631578947212,0.03191489361702127,0.3726415094339621,0.45500000000000007,1.8811881188118806
1965-12-01,9.9,0.020618556701031077,0.04210526315789487,-0.010000000000000009,0.13793103448275867,1.25
1966-01-01,10.1,0.02020202020202011,0.04123711340206193,0.20717131474103567,0.38990825688073394,1.261194029850746
1966-02-01,7.199999999999999,-0.28712871287128716,-0.2727272727272728,0.06930693069306937,0.234285714285714,0.588235294117647
1966-03-01,4.3,-0.4027777777777778,-0.5742574257425743,-0.1568627450980392,-0.022727272727272818,-0.06521739130434778
1966-04-01,1.4,-0.6744186046511629,-0.8055555555555556,-0.7835051546391752,-0.7236842105263158,-0.7704918032786885
1966-05-01,2.0666666666666664,0.47619047619047605,-0.5193798449612403,-0.7361702127659575,-0.6395348837209303,-0.7280701754385965
1966-06-01,2.7333333333333334,0.3225806451612905,0.9523809523809526,-0.7028985507246377,-0.5729166666666667,-0.6996336996336996
1966-07-01,3.4,0.24390243902439024,0.6451612903225807,-0.6344086021505376,-0.27142857142857146,-0.5096153846153846
1966-08-01,3.3666666666666667,-0.009803921568627416,0.23170731707317072,-0.6418439716312057,0.1477272727272727,-0.29370629370629364
1966-09-01,3.333333333333333,-0.00990099009901002,-0.019607843137254943,-0.6491228070175439,1.7777777777777777,0.28205128205128194
1966-10-01,3.3,-0.010000000000000009,-0.01980198019801982,-0.6597938144329897,-0.2016129032258066,-0.28776978417266186
1966-11-01,3.4,0.030303030303030276,0.020000000000000018,-0.6565656565656566,-0.5188679245283019,-0.49
1966-12-01,3.5,0.02941176470588247,0.06060606060606055,-0.6534653465346534,-0.65,-0.5977011494252873
1967-01-01,3.6,0.028571428571428692,0.05882352941176472,-0.4999999999999999,-0.5697211155378485,-0.5045871559633027
1967-02-01,2.466666666666667,-0.31481481481481477,-0.2952380952380952,-0.4263565891472868,-0.6336633663366336,-0.5771428571428572
1967-03-01,1.3333333333333335,-0.45945945945945943,-0.6296296296296295,-0.04761904761904745,-0.7385620915032679,-0.696969696969697
1967-04-01,0.2,-0.85,-0.9189189189189189,-0.9032258064516129,-0.9690721649484536,-0.9605263157894737
1967-05-01,1.4,0.0035714285714286698,0.04999999999999982,-0.4878048780487805,-0.8212765957446808,-0.7558139534883721
1967-06-01,2.6,0.8571428571428574,0.8821428571428571,-0.23529411764705876,-0.717391304347826,-0.59375
1967-07-01,3.8,0.46153846153846145,1.7142857142857144,0.1287128712871286,-0.5913978494623655,-0.18571428571428583
1967-08-01,3.533333333333333,-0.07017543859649122,0.3589743589743588,0.06000000000000005,-0.624113475177305,0.20454545454545436
1967-09-01,3.2666666666666666,-0.07547169811320753,-0.14035087719298245,-0.010101010101010055,-0.656140350877193,1.7222222222222223
1967-10-01,3.0,-0.08163265306122447,-0.15094339622641506,-0.11764705882352944,-0.6907216494845361,-0.27419354838709686
1967-11-01,4.8,0.5999999999999999,0.4693877551020409,0.37142857142857144,-0.5151515151515151,-0.3207547169811321
1967-12-01,6.6,0.375,1.1999999999999997,0.8333333333333333,-0.3465346534653465,-0.3400000000000001
1968-01-01,8.4,0.27272727272727293,0.7500000000000002,2.4054054054054053,0.16666666666666674,0.003984063745019917
1968-02-01,7.9,-0.059523809523809534,0.19696969696969702,4.925,0.8372093023255816,0.17326732673267342
1968-03-01,7.4,-0.06329113924050633,-0.11904761904761907,4.426785714285714,4.2857142857142865,0.4509803921568629
1968-04-01,6.9,-0.06756756756756754,-0.12658227848101267,3.928571428571429,2.3387096774193554,0.06701030927835072
1968-05-01,5.633333333333334,-0.18357487922705307,-0.23873873873873874,1.166666666666667,1.0609756097560976,-0.2808510638297871
1968-06-01,4.366666666666667,-0.2248520710059171,-0.36714975845410625,0.1491228070175441,0.2843137254901962,-0.5253623188405796
1968-07-01,3.1,-0.29007633587786263,-0.4497041420118344,-0.12264150943396224,-0.07920792079207917,-0.6666666666666666
1968-08-01,2.6,-0.16129032258064513,-0.40458015267175573,-0.20408163265306123,-0.21999999999999986,-0.7234042553191489
1968-09-01,2.1,-0.1923076923076923,-0.32258064516129026,-0.29999999999999993,-0.36363636363636354,-0.7789473684210526
1968-10-01,1.6,-0.23809523809523814,-0.3846153846153846,-0.6666666666666666,-0.5294117647058822,-0.8350515463917525
1968-11-01,3.2,1.0,0.5238095238095237,-0.5151515151515151,-0.08571428571428563,-0.6767676767676767
1968-12-01,4.800000000000001,0.5000000000000002,2.0000000000000004,-0.4285714285714285,0.3333333333333335,-0.5247524752475247
1969-01-01,6.4,0.33333333333333326,1.0,-0.189873417721519,1.5945945945945947,-0.11111111111111094
1969-02-01,4.666666666666667,-0.27083333333333337,-0.0277777777777779,-0.36936936936936937,2.5,0.08527131782945752
1969-03-01,2.9333333333333336,-0.37142857142857144,-0.5416666666666666,-0.5748792270531401,1.1785714285714286,1.0952380952380953
