,SHARE_M,SHARE_M_PCT_CHG,SHARE_Q_PCT_CHG,SHARE_A_PCT_CHG,SHARE_2A_PCT_CHG,SHARE_3A_PCT_CHG
1962-01-01,-3.24005891,-1.2818596927918202,-1.0931029754023824,-1.9480297859769469,-1.7136100892684079,-0.45077730423117524
1962-02-01,0.9132420090000001,-1.2818596927918202,-1.0931029754023824,-1.9480297859769469,-1.7136100892684079,-0.45077730423117524
1962-03-01,0.301659125,-0.6696832580771042,-1.0931029754023824,-1.9480297859769469,-1.7136100892684079,-0.45077730423117524
1962-04-01,-3.308270677,-11.966917301109325,-4.62255639184027,-1.9480297859769469,-1.7136100892684079,-0.45077730423117524
1962-05-01,-6.687402799,1.0214194822366407,-23.168740292540466,-1.9480297859769469,-1.7136100892684079,-0.45077730423117524
1962-06-01,-11.16666667,0.6698062021432005,2.37537878857184,-1.9480297859769469,-1.7136100892684079,-0.45077730423117524
1962-07-01,1.6885553469999999,-1.1512139116265032,-1.252497927484269,-1.9480297859769469,-1.7136100892684079,-0.45077730423117524
1962-08-01,3.505535055,1.07605576046303,-1.3139285122943498,-1.9480297859769469,-1.7136100892684079,-0.45077730423117524
1962-09-01,-0.8912655970000001,-1.2542452387485823,-1.527827292474293,-1.9480297859769469,-1.7136100892684079,-0.45077730423117524
1962-10-01,-2.6978417269999997,2.0269784181964776,-1.7695948506211698,-1.9480297859769469,-1.7136100892684079,-0.45077730423117524
1962-11-01,8.31792976,-4.083179297270911,-10.33271719226923,-1.9480297859769469,-1.7136100892684079,-0.45077730423117524
1962-12-01,3.071672355,-0.6307167235564635,-2.138566552759083,-1.9480297859769469,-1.7136100892684079,-0.45077730423117524
1963-01-01,3.642384106,0.1857983811557924,-0.5621044886053475,2.988410596648319,-1.7136100892684079,-0.45077730423117524
1963-02-01,1.118210863,-0.6930002903433491,-0.6359602412738451,2.7068690131617936,-1.7136100892684079,-0.45077730423117524
1963-03-01,-0.789889415,-1.7063868194598284,-1.2168605484794524,-0.7612379723063392,-1.7136100892684079,-0.45077730423117524
1963-04-01,4.936305732,-7.249363060524112,3.414467695973366,-1.7381499036872956,-1.7136100892684079,-0.45077730423117524
1963-05-01,1.820940819,-0.6311126340502768,-3.3053110782602397,-1.1630693270259496,-1.7136100892684079,-0.45077730423117524
1963-06-01,-0.14903129699999998,-1.0818430206215286,-1.0301908562984445,-1.0882596458948053,-1.7136100892684079,-0.45077730423117524
1963-07-01,-2.537313433,16.025373086567182,-2.3934079606131338,-1.723802042538696,-1.7136100892684079,-0.45077730423117524
1963-08-01,1.837672282,-1.724259075800195,-13.33078097683066,-3.06186830074627,-1.7136100892684079,-0.45077730423117524
1963-09-01,3.458646617,0.8820802005218469,-2.3631136666117984,-2.2820050125201434,-1.7136100892684079,-0.45077730423117524
1963-10-01,1.162790698,-0.6638018199706697,-0.3672480619153181,-0.8602067183120815,-1.7136100892684079,-0.45077730423117524
1963-11-01,-0.574712644,-1.4942528737016092,-1.1661669166127475,-1.187100894099104,-1.7136100892684079,-0.45077730423117524
1963-12-01,2.3121387280000003,-5.023121384467053,0.9884393055232372,-0.3652128219560158,-1.7136100892684079,-0.45077730423117524
1964-01-01,2.259887006,-0.022598869768163943,-4.932203388237966,1.0209846646785796,1.4745762719288136,-0.45077730423117524
1964-02-01,2.071823204,-0.08321823237210113,-0.10393646414455116,-3.6229281778639866,5.86809392555256,-0.45077730423117524
1964-03-01,2.435723951,0.17564276058759676,0.07780784815043984,-0.5065694705232249,-1.7362529214836675,-0.45077730423117524
1964-04-01,1.05680317,-0.5661235873769178,-0.4899163365099565,-0.41963892567339944,-1.158028939150791,-0.45077730423117524
1964-05-01,0.261437908,-0.7526143794591381,-0.8926652144251958,-2.7542483576453076,-1.0234123499631604,-0.45077730423117524
1964-06-01,-0.651890482,-3.493481098387614,-1.6168513688315298,-0.743078457110742,-1.3860640299165747,-0.45077730423117524
1964-07-01,3.578066914,-6.488754649435117,12.686105972053602,0.9470647454647738,0.020690667148384856,-0.45077730423117524
1964-08-01,-1.076716016,-1.3009211515265697,0.6516823695548297,-1.3113113698021956,0.2080753701525404,-0.45077730423117524
1964-09-01,1.836734694,-2.7058673472913215,-0.48666843350152056,0.5795918363977142,-1.680816326479778,-0.45077730423117524
1964-10-01,1.8926742369999998,0.030455973409080572,-2.757821197859845,-4.2932531705357775,-0.7724584972932015,-0.45077730423117524
1964-11-01,0.699300699,-0.630522418845605,-0.6192696194587153,-0.6975524476401573,-0.772338772440461,-0.45077730423117524
1964-12-01,-1.779513889,-3.544704862364223,-1.9402113972981607,-1.7874348957604476,-1.4885574495201248,-0.45077730423117524
1965-01-01,2.3641184269999997,-2.328519233040951,2.380689352063696,0.1410811609965923,1.114197335426887,1.5887096779403622
1965-02-01,0.8633714659999999,-0.6348019387947523,-1.485172648180438,-0.6455380480840047,-2.0930282766227473,1.8620764115787978
1965-03-01,0.106997646,-0.8760699765817834,-0.9547409957225463,-0.898753477433267,-0.9783243478404551,-1.032342470265168
1965-04-01,1.303976058,11.186960243966489,0.5103302684316418,3.987708431326646,-0.2838998146485068,-1.1949899082189261
1965-05-01,1.308292889,0.0033105140033178326,11.227305346512017,-3.006921292954236,-9.77864525999529,-1.1171605571889074
1965-06-01,-5.082274526,-4.884661124990644,-4.897521350043069,-2.4203967248668397,1.0030140777645107,-4.00983591389498
1965-07-01,-0.307219662,-0.939550754208904,-1.234824835159675,-0.7146697388775538,-1.16717869938466,-1.0876384509582375
