,LRUN_UEMP,UEMP_M_PCT_CHG,UEMP_Q_PCT_CHG,UEMP_A_PCT_CHG,UEMP_2A_PCT_CHG,UEMP_3A_PCT_CHG
1988-08-01,5.352307339666667,-0.018520648283295582,-0.021169909247304552,-0.07134283840491196,-0.20348714512449684,-0.22864719339587225
1988-09-01,5.251308575333334,-0.01887013542455196,-0.037041296566591275,-0.07202375133431738,-0.20606313201445103,-0.23095582717504004
1988-10-01,5.1503098110000005,-0.019233065984305076,-0.03774027084910381,-0.12076788001349348,-0.2452195974688125,-0.27436898815770894
1988-11-01,5.333334932666667,0.03553672077663417,0.015620174696766354,-0.119416197250647,-0.24166023701658468,-0.27605442783831813
1988-12-01,5.516360054333333,0.03431720002162941,0.07107344155326834,-0.1181504515044941,-0.2383066291434608,-0.2776209742145255
1989-01-01,5.699385176,0.03317860325721367,0.06863440004325905,-0.0505493583584109,-0.1779494513505595,-0.23937566297132773
1989-02-01,5.551877642333333,-0.025881306335956644,0.006438591326557663,-0.03449042281370296,-0.1618583431281112,-0.2446108431704449
1989-03-01,5.404370108666667,-0.026568945349572215,-0.0517626126719134,-0.016955639478855256,-0.14419199842274888,-0.2500542922791733
1989-04-01,5.256862575,-0.027294121368578672,-0.05313789069914454,-0.04121285897823024,-0.15223626983406913,-0.2610951648479445
1989-05-01,5.253706698333334,-0.0006003346333752768,-0.027878070395608745,-0.03920199682742309,-0.13686647286869924,-0.251869422083401
1989-06-01,5.250550821666667,-0.0006006952515388297,-0.0012006692667505536,-0.03718024964426858,-0.12090956976032263,-0.24239887205132127
1989-07-01,5.247394945,-0.0006010563032061711,-0.0012013905030777705,-0.019601339760358494,-0.10577612342933107,-0.23116048592006933
1989-08-01,5.217792859666667,-0.005641291658738057,-0.00623895722803447,-0.006382355023678898,-0.09468190084335915,-0.22350514963870816
1989-09-01,5.188190774333333,-0.005673296378274628,-0.011282583317476336,0.007355084397530076,-0.08317750841329263,-0.2156058104766274
1989-10-01,5.158588689,-0.00570566631431102,-0.011346592756549034,-0.03276491086212241,-0.11935455620926272,-0.24400632387971688
1989-11-01,5.384354444666667,0.043765023590286,0.0378096486551307,-0.023929839308253653,-0.1109923955471015,-0.23440584082244498
1989-12-01,5.610120200333333,0.04192995798972565,0.08753004718057156,-0.01566221143335944,-0.1031618826651518,-0.22536032379802906
1990-01-01,5.835885956,0.04024258796687685,0.08385991597945153,0.05115536255718056,-0.027809931358227735,-0.1582612678667351
1990-02-01,5.682189543333333,-0.02633643183322465,0.012846309958870039,0.051406441283720294,-0.01182829001065111,-0.14218574952095764
1990-03-01,5.528493130666667,-0.027048800729815747,-0.05267286366644919,0.05167161054550995,0.005622095638188052,-0.12453652086076594
1990-04-01,5.374796718,-0.027800778446139263,-0.05409760145963172,0.023048492544336385,-0.019703120387466022,-0.13321726609235496
1990-05-01,5.4577852296666665,0.015440307051751478,-0.012789723949873877,0.03946907953825263,-0.0018801102710872541,-0.10333833118210767
1990-06-01,5.540773741333333,0.015205529014877595,0.03088061410350318,0.05590941779842207,0.016039377886595263,-0.07231806003483465
1990-07-01,5.623762253,0.014977783887399232,0.03041105802975519,0.07780481215945922,0.05071736283182848,-0.04163827280024579
1990-08-01,5.701197729333333,0.013769336762418316,0.028953354800117737,0.098879740031518,0.08567181828034975,-0.01080828042569315
1990-09-01,5.778633205666667,0.013582317262023524,0.027538673524836632,0.12019654096261423,0.12199720360990662,0.021161542438803416
1990-10-01,5.856068682,0.013400310000191373,0.02716463452404705,0.08760831817091419,0.09801254860848685,-0.00028466810587235436
1990-11-01,6.328742959666667,0.08071528927239902,0.09519720917059571,0.12809400399132898,0.14726792619259377,0.044935038283818285
1990-12-01,6.801417237333333,0.0746869134485375,0.16143057854479803,0.16544724976002145,0.19335981466456564,0.08727977521344088
1991-01-01,7.274091515,0.0694964389292474,0.14937382689707546,0.280156436093262,0.3102038595978238,0.21177822572144578
1991-02-01,7.135934465333333,-0.01899303155339349,0.049183459318422384,0.2907557804042762,0.32040077231014585,0.24098791657761987
1991-03-01,6.9977774156666674,-0.01936075090625322,-0.03798606310678687,0.3019613173892446,0.33116993564677055,0.27288203552560253
1991-04-01,6.859620366000001,-0.019742990018139173,-0.038721501812506554,0.25685054969063903,0.3056725013172359,0.2511104685310983
1991-05-01,6.827678111666667,-0.004656562991686375,-0.02430761853316188,0.23226076905707616,0.3003736833651631,0.24864593184760775
1991-06-01,6.795735857333334,-0.004678348013910094,-0.009313125983372639,0.20839671942179705,0.29506849180633465,0.24616805433838773
1991-07-01,6.763793603,-0.0047003378300621845,-0.0093566960278203,0.1863811648207685,0.29629400493911096,0.2637154733011349
1991-08-01,6.779856351666666,0.0023748135453958152,-0.002336686710613045,0.1732629690041887,0.3067862471841849,0.2910794051435657
1991-09-01,6.795919100333333,0.0023691871676188025,0.0047496270907918525,0.1604917000413919,0.3173989069577734,0.3195165630266843
1991-10-01,6.8119818489999995,0.0023635873867124957,0.004738374335237383,0.07635621993388475,0.2651436525965396,0.2772462136732914
1991-11-01,7.259956057666666,0.06576268384103656,0.06828170707779213,0.06741812835954097,0.2940820870888481,0.3160772658346811
1991-12-01,7.707930266333333,0.0617048099338835,0.13152536768207312,0.0596416405318394,0.32078151020217316,0.3524143444088106
1992-01-01,8.155904475,0.0581186120252446,0.12340961986776677,0.14293432971136766,0.4353453739622202,0.4690353427119569
1992-02-01,7.968046158,-0.023033413102842903,0.03374652892266039,0.1386538445994423,0.4412690709157403,0.4743709253409789
1992-03-01,7.780187841,-0.023576459432453012,-0.04606682620568581,0.13420093618632767,0.44753155313659265,0.4800059408058617
1992-04-01,7.592329524,-0.024145730262452703,-0.047152918864906024,0.11199289126222123,0.3911008228632149,0.44513768277330024
1992-05-01,7.582417430333333,-0.0013055404978582485,-0.02541974753160292,0.11576105803922387,0.36847627864131094,0.44411847211231614
1992-06-01,7.572505336666667,-0.0013072471619688386,-0.002611080995716497,0.11956481541778152,0.34651946437229064,0.44309803550848725
1992-07-01,7.562593242999999,-0.0013089582939839195,-0.0026144943239377882,0.11545036513065887,0.3264920113346652,0.4493854866218525
1992-08-01,7.414702229666666,-0.0195555953601263,-0.020838956195369795,0.09105216236358404,0.28312387475910916,0.4291498813706274
1992-09-01,7.266811216333332,-0.019945644309438793,-0.03911119072025271,0.06676902220461756,0.24090266199738752,0.4086820358112355
1992-10-01,7.118920202999999,-0.020351569475332454,-0.039891288618877474,-0.01942654384494935,0.12485532251335907,0.32214925227507285
1992-11-01,7.365834282333333,0.03468420382479942,0.013626756365629822,-0.04438234028844368,0.08298521106775891,0.312954806546869
1992-12-01,7.612748361666666,0.03352153603639274,0.06936840764959862,-0.06659667422518867,0.04655658317857525,0.30447174928766985
1993-01-01,7.859662441,0.032434288853766535,0.06704307207278548,-0.013602295324454339,0.10142021051098027,0.38321018351480407
1993-02-01,7.608349401333333,-0.03197504238295146,-0.0005778412899450913,-0.022086669779502355,0.08725227302882099,0.3762067206215125
1993-03-01,7.357036361666667,-0.03303121694471922,-0.06395008476590291,-0.030990904911272765,0.07251363328095106,0.3688027189992542
1993-04-01,7.105723322,-0.03415954839860735,-0.06606243388943855,-0.06286835467885554,0.04072324526521376,0.30194264211345323
1993-05-01,6.9982638150000005,-0.015122951194468048,-0.04876590640981826,-0.07583243538781592,0.0298022115512504,0.26304811235911196
1993-06-01,6.890804308,-0.015355166629996586,-0.03024590238893632,-0.08883049946151911,0.01877802790192562,0.2253014971114926
1993-07-01,6.783344801,-0.015594624690653758,-0.03071033325999306,-0.08514939765761154,0.0005145314520529354,0.18981047896284897
1993-08-01,6.640006740333333,-0.021130882311265697,-0.036395978822892916,-0.08625578088380159,-0.02294205650452097,0.1490618116792708
1993-09-01,6.496668679666667,-0.021587035416092193,-0.042261764622531284,-0.08740813291756078,-0.046288022534825335,0.10939079311615663
1993-10-01,6.353330618999999,-0.02206331702204367,-0.0431740708321845,-0.13745946820467903,-0.12488029286475522,0.003885077888299504
1993-11-01,6.633453313666666,0.04409068431429386,0.02105458054650522,-0.12863883074490612,-0.13939889380678017,-0.024695430056063117
1993-12-01,6.913576008333333,0.04222878814712394,0.08818136862858794,-0.12037240018494921,-0.15232258671919607,-0.049561585240334605
1994-01-01,7.193698703,0.04051777174779292,0.08445757629424788,-0.05449942904313354,-0.09718159755168432,0.008094838587333841
1994-02-01,6.857224766,-0.046773426423833975,-0.008150809691744199,-0.0679365400816695,-0.11862992177851717,-0.020085327285774723
1994-03-01,6.520750829000001,-0.049068529686868256,-0.09354685284766773,-0.08232413035121544,-0.14113964516590694,-0.049400625533101095
1994-04-01,6.184276892000001,-0.051600489855184395,-0.09813705937373662,-0.11631269476513728,-0.18439245150762795,-0.09423426370485544
1994-05-01,6.117143249333334,-0.01085553636084935,-0.06189587522217321,-0.11227442023980716,-0.19219030197131126,-0.09985564804843394
1994-06-01,6.050009606666666,-0.010974672315215761,-0.02171107272169892,-0.10810819969305197,-0.2000085933133311,-0.10553012676447471
1994-07-01,5.982875964,-0.011096452242437826,-0.02194934463043141,-0.09896537790266535,-0.19310637451330737,-0.11755122031025744
1994-08-01,5.760040736,-0.03724550355729217,-0.04792866284826103,-0.1133854872378165,-0.20734961119488315,-0.15242652966285675
1994-09-01,5.537205508,-0.03868639792897455,-0.07449100711458434,-0.12845626332735305,-0.22218463613813866,-0.18713736607902687
1994-10-01,5.31437028,-0.04024326488840879,-0.0773727958579492,-0.19885314199001092,-0.2785107461966242,-0.2679886437621184
1994-11-01,5.53326352,0.04118893273654245,-0.0007119092824539042,-0.1996524644655041,-0.27315822655294,-0.2821336819602318
1994-12-01,5.75215676,0.03955951839430916,0.08237786547308468,-0.2003895356916785,-0.26814200950999856,-0.2947248490180483
1995-01-01,5.97105,0.03805411589652152,0.07911903678861831,-0.12923227635674095,-0.21519771437500002,-0.25062557600711133
1995-02-01,5.871685580333334,-0.016641029578828848,0.02077982664946254,-0.0995384221369191,-0.201895261667137,-0.24530285125112916
1995-03-01,5.7723211606666665,-0.01692263972707919,-0.03328205915765792,-0.06661340339826005,-0.1876518548372117,-0.23971672430446178
1995-04-01,5.672956741,-0.01721394511860297,-0.03384527945415838,-0.07261338998097566,-0.18937655238994444,-0.2518274292964362
1995-05-01,5.667723015666667,-0.000922574518417818,-0.01812063848989287,-0.06318776594647846,-0.1774947071002112,-0.2515392510556439
1995-06-01,5.662489290333333,-0.0009234264481284837,-0.001845149036835747,-0.053550612714435064,-0.16523640527626293,-0.25125031739944736
1995-07-01,5.657255565,-0.0009242799526822942,-0.0018468528962570785,-0.017844521542633718,-0.14800454483936232,-0.23702188034403016
1995-08-01,5.529596478,-0.022565550651413746,-0.023468973718007713,-0.0013741642763677175,-0.14885662935119626,-0.23906149294599277
1995-09-01,5.401937391,-0.023086510472853483,-0.0451311013028276,0.016477419973829788,-0.1497471617728824,-0.2411858488421379
1995-10-01,5.274278304,-0.023632093036229596,-0.046173020945706744,-0.04680514764277843,-0.20489704915332807,-0.28395371089868915
1995-11-01,5.543287785666666,0.05100403622286098,0.02616661105738949,-0.03631141901169843,-0.1982025251497892,-0.2718414530054072
1995-12-01,5.812297267333333,0.04852886807757795,0.10200807244572219,-0.026587071397269568,-0.1920293708006673,-0.2604902168554425
1996-01-01,6.0813067489999995,0.04628281543316293,0.0970577361551559,0.03570033950196039,-0.11315335919090985,-0.2007061678930946
1996-02-01,5.872735747666666,-0.0342970696828655,0.010398380804267138,0.017395876668165444,-0.0993773720736868,-0.20175251840997388
1996-03-01,5.664164746333333,-0.03551513473362078,-0.06859413936573089,-0.0015498081631972749,-0.08410233803397227,-0.20287288293416428
1996-04-01,5.455593745,-0.03682290517209108,-0.07103026946724167,-0.03742760012800572,-0.10814680601201088,-0.22043611255315343
1996-05-01,5.398234267666667,-0.0105138835504206,-0.04694963698554411,-0.04666764193581552,-0.10773128992750536,-0.216603167586766
1996-06-01,5.340874790333333,-0.01062559987010836,-0.02102776710084131,-0.05592478031645487,-0.10730644885999618,-0.21264878212500982
1996-07-01,5.2835153130000005,-0.010739715792841609,-0.02125119974021661,-0.04450255384440005,-0.08272952307815051,-0.20429067023284908
1996-08-01,5.192117534666667,-0.017298668200781186,-0.02785260121355182,-0.038841593514746586,-0.06232168425657314,-0.20080308991021745
1996-09-01,5.1007197563333335,-0.017603179766846555,-0.03459733640156237,-0.032906596440889446,-0.04020241579152195,-0.19715814236404783
1996-10-01,5.009321978,-0.01791860417735147,-0.03520635953369311,-0.09632655353874042,-0.09468942516585588,-0.24483949141852357
1996-11-01,5.254079858333333,0.04886048080124694,0.030066365008502904,-0.09604075347923635,-0.08658959107829789,-0.24003441171395423
1996-12-01,5.4988377386666665,0.04658434719927795,0.09772096160249388,-0.09578023842147299,-0.07908362203185926,-0.2356035517065126
1997-01-01,5.743595619,0.04451083882913065,0.0931686943985559,-0.021989773457451345,-0.02181485360223634,-0.16240231070179856
