DATE,SHARE_M
4/1/1979,2.332774357
5/1/1979,-2.236830016
6/1/1979,2.490770158
7/1/1979,1.343932464
8/1/1979,4.812348421
9/1/1979,1.132276568
10/1/1979,-4.224167184
11/1/1979,-0.419673062
12/1/1979,4.610323295
1/1/1980,3.464569703
2/1/1980,3.397853442
3/1/1980,-9.886567233
4/1/1980,-1.77682578
5/1/1980,4.98269205
6/1/1980,6.591403038
7/1/1980,4.787451545
8/1/1980,3.374426374
9/1/1980,3.167249172
10/1/1980,2.806478979
11/1/1980,3.960296857
12/1/1980,-1.866612933
1/1/1981,-0.578473866
2/1/1981,-3.577439819
3/1/1981,3.998884198
4/1/1981,1.503108409
5/1/1981,-1.704474285
6/1/1981,0.672532467
7/1/1981,-2.367079315
8/1/1981,0.354436841
9/1/1981,-9.135020807
10/1/1981,1.511354065
11/1/1981,3.011684337
12/1/1981,0.438432299
1/1/1982,-5.427616275
2/1/1982,-2.569363779
3/1/1982,-3.478686169
4/1/1982,4.858273615
5/1/1982,0.151339856
6/1/1982,-5.916400982
7/1/1982,-0.440100721
8/1/1982,0.141708088
9/1/1982,11.59859149
10/1/1982,8.397768833
11/1/1982,4.788083533
12/1/1982,0.688030735
1/1/1983,3.681607636
2/1/1983,1.785977876
3/1/1983,3.264169243
4/1/1983,3.545652857
5/1/1983,4.416922734
6/1/1983,1.920050738
7/1/1983,0.329277981
8/1/1983,-2.874346961
9/1/1983,2.91330515
10/1/1983,0.087556285
11/1/1983,-1.420428422
12/1/1983,-0.511152877
1/1/1984,1.401090659
2/1/1984,-5.867796644
3/1/1984,0.063364813
4/1/1984,0.005523956
5/1/1984,-0.656894524
6/1/1984,-1.982951973
7/1/1984,-1.347170066
8/1/1984,8.03102781
9/1/1984,1.696970641
10/1/1984,-0.624542621
11/1/1984,0.871705328
12/1/1984,-1.221365172
1/1/1985,4.608301595
2/1/1985,5.668560493
3/1/1985,-0.772532327
4/1/1985,0.710708047
5/1/1985,2.237978547
6/1/1985,2.369233312
7/1/1985,1.922002661
8/1/1985,-2.289708
9/1/1985,-2.263271724
10/1/1985,0.894256182
11/1/1985,5.913387583
12/1/1985,4.734104599
1/1/1986,0.693795891
2/1/1986,5.219795257
3/1/1986,5.964084783
4/1/1986,2.467006162
5/1/1986,0.068404021
6/1/1986,2.511580588
7/1/1986,-1.773273007
8/1/1986,1.877925618
9/1/1986,-2.733502764
10/1/1986,-0.235595858
11/1/1986,3.000727937
12/1/1986,0.905032823
1/1/1987,6.370865068
2/1/1987,5.995055168
3/1/1987,3.868610345
4/1/1987,-1.536315088
5/1/1987,-0.533134722
6/1/1987,4.034089234
