,H_RATIO_M,H_RATIO_M_PCT_CHG,H_RATIO_Q_PCT_CHG,H_RATIO_A_PCT_CHG,H_RATIO_2A_PCT_CHG,H_RATIO_3A_PCT_CHG
1985-05-01,6.4,-0.07246376811594202,0.0,-0.030303030303030165,0.20754716981132093,-0.22891566265060248
1985-06-01,6.0,-0.0625,-0.13043478260869568,-0.10447761194029848,0.034482758620689724,-0.2682926829268292
1985-07-01,5.6,-0.06666666666666676,-0.1250000000000001,-0.2533333333333334,-0.09677419354838723,-0.21126760563380287
1985-08-01,5.8,0.03571428571428581,-0.033333333333333326,-0.10769230769230775,-0.06451612903225812,-0.13432835820895528
1985-09-01,6.3,0.0862068965517242,0.125,0.050000000000000044,0.125,0.016129032258064502
1985-10-01,6.4,0.01587301587301604,0.10344827586206895,-0.11111111111111105,0.10344827586206895,0.18518518518518512
1985-11-01,5.9,-0.078125,-0.06349206349206338,-0.1917808219178081,0.25531914893617014,0.017241379310344973
1985-12-01,5.8,-0.016949152542372947,-0.09375000000000011,-0.13432835820895528,0.09433962264150941,0.07407407407407396
1986-01-01,5.7,-0.01724137931034475,-0.03389830508474578,-0.12307692307692308,0.11764705882352944,0.017857142857143016
1986-02-01,6.0,0.05263157894736836,0.034482758620689724,-0.0625,-0.016393442622950727,0.11111111111111094
1986-03-01,4.7,-0.21666666666666667,-0.17543859649122806,-0.3188405797101449,-0.21666666666666667,-0.07843137254901955
1986-04-01,4.7,0.0,-0.21666666666666667,-0.265625,-0.29850746268656714,-0.04081632653061229
1986-05-01,5.2,0.1063829787234043,0.1063829787234043,-0.1333333333333333,-0.21212121212121204,-0.01886792452830177
1986-06-01,5.7,0.09615384615384626,0.2127659574468086,0.017857142857143016,-0.14925373134328357,-0.01724137931034475
1986-07-01,6.1,0.07017543859649122,0.1730769230769229,0.051724137931034475,-0.18666666666666676,-0.016129032258064613
1986-08-01,7.0,0.14754098360655754,0.22807017543859653,0.11111111111111116,0.07692307692307687,0.12903225806451601
1986-09-01,5.8,-0.17142857142857149,-0.0491803278688524,-0.09375000000000011,-0.033333333333333326,0.03571428571428581
1986-10-01,6.5,0.12068965517241392,-0.0714285714285714,0.10169491525423724,-0.09722222222222221,0.12068965517241392
1986-11-01,6.1,-0.06153846153846154,0.051724137931034475,0.051724137931034475,-0.1643835616438356,0.2978723404255319
1986-12-01,5.5,-0.09836065573770492,-0.15384615384615385,-0.03508771929824561,-0.17910447761194037,0.037735849056603765
1987-01-01,6.0,0.09090909090909083,-0.016393442622950727,0.0,-0.07692307692307687,0.17647058823529416
1987-02-01,6.2,0.03333333333333344,0.1272727272727272,0.31914893617021267,-0.03125,0.016393442622950838
1987-03-01,6.0,-0.032258064516129115,0.0,0.2765957446808509,-0.13043478260869568,0.0
1987-04-01,6.0,0.0,-0.032258064516129115,0.15384615384615374,-0.0625,-0.10447761194029848
1987-05-01,6.7,0.1166666666666667,0.1166666666666667,0.17543859649122817,0.1166666666666667,0.015151515151515138
1987-06-01,6.9,0.029850746268656803,0.15000000000000013,0.1311475409836067,0.2321428571428572,0.029850746268656803
1987-07-01,6.7,-0.02898550724637683,0.0,-0.042857142857142816,0.15517241379310343,-0.10666666666666669
1987-08-01,6.8,0.014925373134328401,-0.01449275362318847,0.17241379310344818,0.0793650793650793,0.04615384615384621
