,RPCE_M,RPCE_M_PCT_CHG,RPCE_Q_PCT_CHG,RPCE_A_PCT_CHG,RPCE_2A_PCT_CHG,RPCE_3A_PCT_CHG
1962-01-01,4.3,0.05348837209302326,0.10930232558139519,-0.11627906976744184,0.5186046511627909,0.5116279069767442
1962-02-01,4.53,0.05348837209302326,0.10930232558139519,-0.11627906976744184,0.5186046511627909,0.5116279069767442
1962-03-01,4.77,0.05298013245033095,0.10930232558139519,-0.11627906976744184,0.5186046511627909,0.5116279069767442
1962-04-01,5.0,0.048218029350104885,0.10375275938189832,-0.11627906976744184,0.5186046511627909,0.5116279069767442
1962-05-01,4.4,-0.11999999999999988,-0.07756813417190755,-0.11627906976744184,0.5186046511627909,0.5116279069767442
1962-06-01,3.8,-0.13636363636363646,-0.24,-0.11627906976744184,0.5186046511627909,0.5116279069767442
1962-07-01,3.2,-0.1578947368421052,-0.2727272727272727,-0.11627906976744184,0.5186046511627909,0.5116279069767442
1962-08-01,4.07,0.2718750000000001,0.07105263157894748,-0.11627906976744184,0.5186046511627909,0.5116279069767442
1962-09-01,4.93,0.21130221130221116,0.5406249999999999,-0.11627906976744184,0.5186046511627909,0.5116279069767442
1962-10-01,5.8,0.17647058823529416,0.42506142506142486,-0.11627906976744184,0.5186046511627909,0.5116279069767442
1962-11-01,4.8,-0.1724137931034483,-0.026369168356997985,-0.11627906976744184,0.5186046511627909,0.5116279069767442
1962-12-01,3.8,-0.20833333333333337,-0.3448275862068966,-0.11627906976744184,0.5186046511627909,0.5116279069767442
1963-01-01,2.8,-0.26315789473684215,-0.41666666666666663,-0.38189845474613693,0.5186046511627909,0.5116279069767442
1963-02-01,3.13,0.11785714285714288,-0.1763157894736842,-0.3438155136268344,0.5186046511627909,0.5116279069767442
1963-03-01,3.47,0.10862619808306717,0.23928571428571432,-0.30599999999999994,0.5186046511627909,0.5116279069767442
1963-04-01,3.8,0.09510086455331401,0.21405750798722045,-0.13636363636363646,0.5186046511627909,0.5116279069767442
1963-05-01,4.37,0.15000000000000013,0.2593659942363111,0.15000000000000013,0.5186046511627909,0.5116279069767442
1963-06-01,4.93,0.12814645308924466,0.2973684210526315,0.5406249999999999,0.5186046511627909,0.5116279069767442
1963-07-01,5.5,0.11561866125760645,0.25858123569794045,0.3513513513513513,0.5186046511627909,0.5116279069767442
1963-08-01,4.8,-0.12727272727272732,-0.026369168356997985,-0.026369168356997985,0.5186046511627909,0.5116279069767442
1963-09-01,4.1,-0.14583333333333337,-0.25454545454545463,-0.2931034482758621,0.5186046511627909,0.5116279069767442
1963-10-01,3.4,-0.1707317073170731,-0.29166666666666663,-0.29166666666666663,0.5186046511627909,0.5116279069767442
1963-11-01,4.97,0.46176470588235285,0.21219512195121948,0.3078947368421052,0.5186046511627909,0.5116279069767442
1963-12-01,6.53,0.3138832997987928,0.9205882352941177,1.3321428571428573,0.5186046511627909,0.5116279069767442
1964-01-01,8.1,0.24042879019908114,0.6297786720321932,1.5878594249201279,0.7880794701986753,0.5116279069767442
1964-02-01,7.83,-0.033333333333333326,0.19908116385911168,1.2564841498559076,0.6415094339622642,0.5116279069767442
1964-03-01,7.57,-0.033205619412515985,-0.06543209876543199,0.9921052631578948,0.514,0.5116279069767442
1964-04-01,7.3,-0.03566710700132103,-0.0676883780332056,0.6704805491990846,0.659090909090909,0.5116279069767442
1964-05-01,7.4,0.013698630136986356,-0.022457067371202122,0.5010141987829617,0.9473684210526319,0.5116279069767442
1964-06-01,7.5,0.013513513513513375,0.027397260273972712,0.36363636363636354,1.34375,0.5116279069767442
1964-07-01,7.6,0.013333333333333197,0.027027027027026973,0.5833333333333333,0.867321867321867,0.5116279069767442
1964-08-01,5.43,-0.28552631578947374,-0.276,0.3243902439024391,0.10141987829614596,0.5116279069767442
1964-09-01,3.27,-0.39779005524861877,-0.5697368421052631,-0.038235294117647034,-0.43620689655172407,0.5116279069767442
1964-10-01,1.1,-0.6636085626911314,-0.7974217311233885,-0.778672032193159,-0.7708333333333333,0.5116279069767442
1964-11-01,3.8,0.023458876549171115,0.1620795107033639,-0.41807044410413485,0.0,0.5116279069767442
1964-12-01,6.5,0.7105263157894737,0.7915660711411556,-0.19753086419753085,1.3214285714285716,0.5116279069767442
1965-01-01,9.2,0.41538461538461524,1.4210526315789473,0.17496807151979565,1.939297124600639,1.0309050772626929
1965-02-01,7.63,-0.17065217391304344,0.17384615384615376,0.00792602377807139,1.1988472622478383,0.59958071278826
1965-03-01,6.07,-0.2044560943643512,-0.3402173913043477,-0.16849315068493143,0.5973684210526318,0.21399999999999997
1965-04-01,4.5,-0.2586490939044481,-0.4102228047182176,-0.3918918918918919,0.029748283752860427,0.022727272727272707
1965-05-01,5.33,0.1844444444444444,-0.12191103789126856,-0.28933333333333333,0.08113590263691695,0.40263157894736845
1965-06-01,6.17,0.1575984990619137,0.37111111111111117,-0.18815789473684208,0.12181818181818183,0.9281249999999999
1965-07-01,7.0,0.1345218800648298,0.3133208255159474,0.28913443830570906,0.4583333333333335,0.7199017199017197
1965-08-01,8.57,0.22428571428571442,0.3889789303079416,1.620795107033639,1.0902439024390245,0.7383367139959434
1965-09-01,10.13,0.1820303383897317,0.4471428571428573,1.8498712377273459,1.9794117647058829,0.7465517241379311
1965-10-01,11.7,0.15498519249753184,0.365227537922987,2.0789473684210527,1.3541247484909458,1.4375
1965-11-01,9.8,-0.16239316239316226,-0.03257650542941759,0.5076923076923079,0.5007656967840735,1.578947368421053
