,STOCK_MKT_M,STOCK_MKT_M_PCT_CHG,STOCK_MKT_Q_PCT_CHG,STOCK_MKT_A_PCT_CHG,STOCK_MKT_2A_PCT_CHG,STOCK_MKT_3A_PCT_CHG
1962-01-01,-1.194624191,0.7225721666913261,1.4451443333826521,-3.092889290454909,-5.5533430987307595,-2.8484263770725313
1962-02-01,-4.306071877333334,0.7225721666913261,1.4451443333826521,-3.092889290454909,-5.5533430987307595,-2.8484263770725313
1962-03-01,-7.4175195636666675,0.7225721666913261,1.4451443333826521,-3.092889290454909,-5.5533430987307595,-2.8484263770725313
1962-04-01,-10.52896725,0.419472798100079,1.4451443333826521,-3.092889290454909,-5.5533430987307595,-2.8484263770725313
1962-05-01,-9.215257446,-0.12477100296802612,0.24236375339530158,-3.092889290454909,-5.5533430987307595,-2.8484263770725313
1962-06-01,-7.901547642000001,-0.14255812294969927,-0.24954200593605225,-3.092889290454909,-5.5533430987307595,-2.8484263770725313
1962-07-01,-6.587837838,-0.16625980928306872,-0.28511624589939877,-3.092889290454909,-5.5533430987307595,-2.8484263770725313
1962-08-01,-2.9452372806666665,-0.5529280845867314,-0.6272581759791576,-3.092889290454909,-5.5533430987307595,-2.8484263770725313
1962-09-01,0.6973632766666666,-1.236776602430082,-1.1058561691734627,-3.092889290454909,-5.5533430987307595,-2.8484263770725313
1962-10-01,4.339963834,-0.4389640763172258,-2.4735532048601634,-3.092889290454909,-5.5533430987307595,-2.8484263770725313
1962-11-01,5.897353128,0.35884844979563035,-0.8779281526344513,-3.092889290454909,-5.5533430987307595,-2.8484263770725313
1962-12-01,7.454742422000001,0.2640827605533207,0.7176968995912607,-3.092889290454909,-5.5533430987307595,-2.8484263770725313
1963-01-01,9.012131716,0.20891255604002135,0.5281655211066414,-3.092889290454909,-5.5533430987307595,-2.8484263770725313
1963-02-01,8.004201571333335,-0.11184147951113521,0.07370598717291732,-2.079094096433587,-5.5533430987307595,-2.8484263770725313
1963-03-01,6.996271426666667,-0.1259251326548948,-0.22368295902227064,-1.6644784108970105,-5.5533430987307595,-2.8484263770725313
1963-04-01,5.988341282,-0.1440667583057007,-0.2518502653097895,-1.64982897299297,-5.5533430987307595,-2.8484263770725313
1963-05-01,4.092227521333333,-0.3166342182878058,-0.41508451119612266,-1.5179020246086283,-5.5533430987307595,-2.8484263770725313
1963-06-01,2.1961137606666665,-0.4633451465691901,-0.6332684365756116,-1.3333588067391446,-5.5533430987307595,-2.8484263770725313
1963-07-01,0.3,-0.8633950547675955,-0.9266902931383801,-1.1018593652773856,-5.5533430987307595,-2.8484263770725313
1963-08-01,1.6955134596666668,-0.020166303107636452,-0.22794825567143406,1.4313202550198336,-5.5533430987307595,-2.8484263770725313
1963-09-01,3.0910269193333333,0.8230624485523226,0.7090883207166058,-0.2877758807302233,-5.5533430987307595,-2.8484263770725313
1963-10-01,4.486540379,0.4514724381525763,1.6461248971046456,-0.23922812800570004,-5.5533430987307595,-2.8484263770725313
1963-11-01,4.963037097333333,0.10620582410528523,0.6056272646126781,-0.33424432175058016,-5.5533430987307595,-2.8484263770725313
1963-12-01,5.439533815666667,0.09600909866044671,0.21241164821057024,-0.3964209593153858,-5.5533430987307595,-2.8484263770725313
1964-01-01,5.916030534,0.08759881535453484,0.19201819732089342,-0.2608843641334595,-2.373881045771972,-2.8484263770725313
1964-02-01,5.055131467,-0.14551971326928248,-0.07066825240786823,-0.2774534950527944,-1.681512387478102,-2.8484263770725313
1964-03-01,4.1942324,-0.170302013433274,-0.29103942653856496,-0.29960030624720835,-1.3983517376787358,-2.8484263770725313
1964-04-01,3.333333333,-0.20525783621336757,-0.3406040268665479,-0.18544770161901203,-1.3617189592947156,-2.8484263770725313
1964-05-01,3.2559179576666666,-0.02322461260232256,-0.22371541508604365,0.4825816476275251,-1.4120607892509707,-2.8484263770725313
1964-06-01,3.1785025823333335,-0.02377682003658732,-0.046449225204644895,0.6557887858675893,-1.482480391973081,-2.8484263770725313
1964-07-01,3.101087207,-0.024355926518235815,-0.04755364007317464,0.8289959241076534,-2.0529159152494687,-2.8484263770725313
1964-08-01,2.9432055293333335,-0.05091171809366868,-0.07402764254709804,-0.047822744303980924,3.2204767985512364,-2.8484263770725313
1964-09-01,2.7853238516666665,-0.053642763338525246,-0.10182343618733758,-0.37918226152519674,-0.3582149625658224,-2.8484263770725313
1964-10-01,2.627442174,-0.05668341854473913,-0.10728552667705038,-0.470597917671875,-0.5544709436636605,-2.8484263770725313
1964-11-01,2.4178085196666665,-0.07978621048553414,-0.13194707386722304,-0.5555118137692208,-0.675668402367415,-2.8484263770725313
1964-12-01,2.2081748653333335,-0.08670399356613834,-0.15957242097106816,-0.6267472162892435,-0.7549775197567327,-2.8484263770725313
1965-01-01,1.998541211,-0.094935259713541,-0.1734079871322768,-0.6046509919580693,-0.7503134830889717,-1.4641216561014903
1965-02-01,1.6017162613333333,-0.19855730143693628,-0.27464247217054194,-0.6181145657705249,-0.7710614463543674,-1.2159369109289635
1965-03-01,1.2048913116666666,-0.24774984137098888,-0.39711460287387257,-0.6385326064638532,-0.7987938136912174,-1.1144358495052462
1965-04-01,0.808066362,-0.32934501711839737,-0.49549968274197764,-0.7518161168351134,-0.8025363062568146,-1.0876878770598808
1965-05-01,0.24786888500000004,-0.6932567711561293,-0.7942811251106664,-0.9220170886826715,-0.8871329484658593,-1.0313696627838418
1965-06-01,-0.31232859199999996,0.5501794817592944,-1.3865135423122588,-1.1007158364637373,-2.0410953066666666,-0.9525901214206542
